Gene,_SCORE_GRP13_,_SCORE_GRP8_,_SCORE_GRP5_,_SCORE_GRP14_,_SCORE_GRP2_,_SCORE_GRP9_,_SCORE_GRP12_,_SCORE_GRP1_,_SCORE_GRP7_,_SCORE_GRP10_,_SCORE_GRP3_,_SCORE_GRP6_,_SCORE_GRP11_,_SCORE_GRP4_,GRP1|19_GO:0070848|-2.271|response to growth factor,GRP1|19_GO:0071363|-1.710|cellular response to growth factor stimulus,GRP1|19_GO:0007346|-1.540|regulation of mitotic cell cycle,GRP1|19_GO:1901987|-1.832|regulation of cell cycle phase transition,GRP1|19_GO:1902806|-3.422|regulation of cell cycle G1/S phase transition,GRP1|19_GO:1901990|-1.589|regulation of mitotic cell cycle phase transition,GRP1|19_GO:2000045|-2.720|regulation of G1/S transition of mitotic cell cycle,GRP1|19_GO:1901988|-1.348|negative regulation of cell cycle phase transition,GRP1|19_GO:1902807|-2.507|negative regulation of cell cycle G1/S phase transition,GRP2|20_GO:0005773|-1.587|vacuole,GRP2|20_GO:0005764|-1.350|lysosome,GRP2|20_GO:0000323|-1.350|lytic vacuole,GRP2|19_GO:0009268|-3.190|response to pH,GRP3|20_GO:0031253|-2.988|cell projection membrane,GRP3|20_GO:0030139|-1.392|endocytic vesicle,GRP3|20_GO:0031256|-1.713|leading edge membrane,GRP3|19_GO:0002699|-1.621|positive regulation of immune effector process,GRP3|21_GO:0051020|-1.562|GTPase binding,GRP3|21_GO:0031267|-1.731|small GTPase binding,GRP4|19_GO:0044282|-1.576|small molecule catabolic process,GRP4|19_GO:0072329|-2.226|monocarboxylic acid catabolic process,GRP4|19_GO:0009062|-2.507|fatty acid catabolic process,GRP4|19_GO:0044242|-1.507|cellular lipid catabolic process,GRP4|19_GO:0046395|-1.462|carboxylic acid catabolic process,GRP4|19_GO:0016054|-1.451|organic acid catabolic process,GRP4|19_GO:0120161|-1.804|regulation of cold-induced thermogenesis,GRP4|19_GO:0120162|-2.274|positive regulation of cold-induced thermogenesis,GRP4|19_GO:0045833|-2.180|negative regulation of lipid metabolic process,GRP5|19_GO:0006812|-1.726|cation transport,GRP5|21_GO:0008324|-2.172|cation transmembrane transporter activity,GRP5|21_GO:0015318|-1.393|inorganic molecular entity transmembrane transporter activity,GRP5|21_GO:0022890|-1.796|inorganic cation transmembrane transporter activity,GRP5|21_GO:0005261|-1.528|cation channel activity,GRP6|21_GO:0003779|-1.661|actin binding,GRP6|21_GO:0051015|-2.102|actin filament binding,GRP6|20_GO:0030055|-1.554|cell-substrate junction,GRP6|20_GO:0005925|-1.637|focal adhesion,GRP6|19_GO:0031589|-1.518|cell-substrate adhesion,GRP7|19_GO:0009725|-1.650|response to hormone,GRP7|19_GO:0051960|-1.308|regulation of nervous system development,GRP7|19_GO:2000177|-2.033|regulation of neural precursor cell proliferation,GRP7|21_GO:0061629|-1.329|RNA polymerase II-specific DNA-binding transcription factor binding,GRP8|20_GO:0070161|-2.019|anchoring junction,GRP8|20_GO:0005911|-1.382|cell-cell junction,"GRP9|21_GO:0016788|-1.731|hydrolase activity, acting on ester bonds",GRP9|21_GO:0042578|-1.405|phosphoric ester hydrolase activity,GRP9|21_GO:0004518|-1.456|nuclease activity,GRP9|21_GO:0004519|-2.013|endonuclease activity,GRP10|19_GO:0060562|-1.368|epithelial tube morphogenesis,GRP10|19_GO:0048738|-1.451|cardiac muscle tissue development,GRP10|19_GO:0090101|-1.947|negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,GRP11|19_GO:1903828|-1.343|negative regulation of protein localization,GRP11|19_GO:1904950|-1.812|negative regulation of establishment of protein localization,GRP12|20_GO:0010008|-1.716|endosome membrane,GRP13|21_GO:0042803|-1.644|protein homodimerization activity,GRP14|19_GO:1903829|-1.507|positive regulation of protein localization,_SORT_,_SORT_GRP1_,_SORT_GRP2_,_SORT_GRP3_,_SORT_GRP4_,_SORT_GRP5_,_SORT_GRP6_,_SORT_GRP7_,_SORT_GRP8_,_SORT_GRP9_,_SORT_GRP10_,_SORT_GRP11_,_SORT_GRP12_,_SORT_GRP13_,_SORT_GRP14_
116914,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,38,0,0,0,0,7,0,0,0,0,0,0,0,0,0
11477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0.2,0,0.1,0,0.1,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,2,0
67905,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,5,0,0,0,0,0
66646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,0,1,0
55991,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.0,0,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,5,0,2,0,0,0,0,0,0
14725,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.2222222222222222,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.1,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,7,0,6,0,8,0,1,0,0,1,0,0,0,2
79560,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0,0
170947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0
396184,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.25,0.0,0.0,0.4,0.0,0.0,0.1,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,3,9,1,0,0,0,0,0,0
244373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,45,0,0,0,5,0,0,0,0,0,0,0,0,0,0
