_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.421657009185484,GO:1902806,M1,1,0,GO Biological Processes,19,regulation of cell cycle G1/S phase transition,19_GO:0050789 regulation of biological process,-3.421657009185484,8.131816026552869,5.625677614186886,20580,171,74,5,6.756756756756757,2.917843321020329,11477|15586|19651|20674|216190,Acvr1|Hyal1|Rbl2|Sox2|Appl2,0.0,0,1,1,1,-3.421657009185484,10.3003003003003,
1,-2.7204537706669925,GO:2000045,M1,1,0,GO Biological Processes,19,regulation of G1/S transition of mitotic cell cycle,19_GO:0050789 regulation of biological process,-2.7204537706669925,7.619400222139947,4.8217633378866935,20580,146,74,4,5.405405405405405,2.6286419598899315,11477|15586|19651|216190,Acvr1|Hyal1|Rbl2|Appl2,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-2.5066464705288807,GO:1902807,M1,1,0,GO Biological Processes,19,negative regulation of cell cycle G1/S phase transition,19_GO:0048519 negative regulation of biological process,-2.5066464705288807,10.3003003003003,5.038028970258212,20580,81,74,3,4.054054054054054,2.2926735577328072,11477|19651|20674,Acvr1|Rbl2|Sox2,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-2.270613795270158,GO:0070848,M1,1,0,GO Biological Processes,19,response to growth factor,19_GO:0050896 response to stimulus,-2.270613795270158,3.7413646830687193,3.516063644129391,20580,446,74,6,8.108108108108109,3.173090815043605,11477|14725|15586|20674|216190|396184,Acvr1|Lrp2|Hyal1|Sox2|Appl2|Flrt1,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-1.8319558165330685,GO:1901987,M1,1,0,GO Biological Processes,19,regulation of cell cycle phase transition,19_GO:0050789 regulation of biological process,-1.8319558165330685,3.4676821459863856,2.997775472983104,20580,401,74,5,6.756756756756757,2.917843321020329,11477|15586|19651|20674|216190,Acvr1|Hyal1|Rbl2|Sox2|Appl2,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-1.7102195857313771,GO:0071363,M1,1,0,GO Biological Processes,19,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-1.7102195857313771,3.2263121590267763,2.8059857540901407,20580,431,74,5,6.756756756756757,2.917843321020329,11477|14725|15586|216190|396184,Acvr1|Lrp2|Hyal1|Appl2|Flrt1,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-1.5888632380206746,GO:1901990,M1,1,0,GO Biological Processes,19,regulation of mitotic cell cycle phase transition,19_GO:0050789 regulation of biological process,-1.5888632380206746,3.5769531589467274,2.750794039264648,20580,311,74,4,5.405405405405405,2.6286419598899315,11477|15586|19651|216190,Acvr1|Hyal1|Rbl2|Appl2,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-1.5402305273829686,GO:0007346,M1,1,0,GO Biological Processes,19,regulation of mitotic cell cycle,19_GO:0050789 regulation of biological process,-1.5402305273829686,2.909080628745901,2.5369160836752727,20580,478,74,5,6.756756756756757,2.917843321020329,11477|15586|19651|216190|223723,Acvr1|Hyal1|Rbl2|Appl2|Ttll12,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-1.3476210630806924,GO:1901988,M1,1,0,GO Biological Processes,19,negative regulation of cell cycle phase transition,19_GO:0048519 negative regulation of biological process,-1.3476210630806924,3.7923832923832927,2.501410689054411,20580,220,74,3,4.054054054054054,2.2926735577328072,11477|19651|20674,Acvr1|Rbl2|Sox2,0.0,0,1,0,0,-3.421657009185484,10.3003003003003,
1,-3.189838889447059,GO:0009268,M1,1,0,GO Biological Processes,19,response to pH,19_GO:0050896 response to stimulus,-3.189838889447059,17.751581368602647,6.906627818108936,20580,47,74,3,4.054054054054054,2.2926735577328072,11881|15586|332396,Arsb|Hyal1|Kcnk18,0.0,0,2,1,1,-3.189838889447059,17.751581368602647,
1,-1.5865205587648052,GO:0005773,M1,1,0,GO Cellular Components,20,vacuole,,-1.5865205587648052,2.644451107208635,2.5203601076149176,20580,631,74,6,8.108108108108109,3.173090815043605,11881|11984|15586|20909|52120|78416,Arsb|Atp6v0c|Hyal1|Stx4a|Hgsnat|Rnase6,0.0,0,2,0,0,-3.189838889447059,17.751581368602647,
1,-1.3504772595945407,GO:0000323,M1,1,0,GO Cellular Components,20,lytic vacuole,,-1.3504772595945407,2.57985257985258,2.232743168352057,20580,539,74,5,6.756756756756757,2.917843321020329,11881|11984|15586|52120|78416,Arsb|Atp6v0c|Hyal1|Hgsnat|Rnase6,0.0,0,2,0,0,-3.189838889447059,17.751581368602647,
1,-1.3504772595945407,GO:0005764,M1,1,0,GO Cellular Components,20,lysosome,,-1.3504772595945407,2.57985257985258,2.232743168352057,20580,539,74,5,6.756756756756757,2.917843321020329,11881|11984|15586|52120|78416,Arsb|Atp6v0c|Hyal1|Hgsnat|Rnase6,0.0,0,2,0,0,-3.189838889447059,17.751581368602647,
1,-2.9877634515132634,GO:0031253,M1,1,0,GO Cellular Components,20,cell projection membrane,,-2.9877634515132634,5.214527027027027,4.564483366684225,20580,320,74,6,8.108108108108109,3.173090815043605,12788|14725|20909|69538|108096|216190,Cnga1|Lrp2|Stx4a|Antxr1|Slco1a5|Appl2,0.0,0,3,1,1,-2.9877634515132634,5.280533698255217,
