gene_id	BDF1_FPKM_rep1	BDF1_FPKM_rep2	ICR_FPKM_rep1	ICR_FPKM_rep2	ddY_FPKM_rep1	ddY_FPKM_rep2
0610005C13Rik	0.0	0.0	0.03	0.02	0.09	0.0
0610007P14Rik	27.88	29.89	27.18	29.21	25.7	29.42
0610009B22Rik	18.1	21.95	18.43	23.58	16.36	18.73
0610009L18Rik	0.91	0.76	2.09	2.72	1.04	0.95
0610009O20Rik	3.4	3.16	2.18	2.82	2.78	2.58
0610010B08Rik	0.0	0.0	0.0	0.0	0.0	0.0
0610010F05Rik	1.44	1.48	0.84	0.99	1.02	1.0
0610010K14Rik	41.82	55.39	46.8	48.33	42.86	50.79
0610011F06Rik	0.42	0.56	0.66	1.06	0.66	0.86
0610012G03Rik	33.84	42.77	35.86	45.14	37.83	40.58
0610030E20Rik	1.73	1.64	1.63	1.73	1.77	1.58
0610031O16Rik	0.0	0.0	0.0	0.0	0.0	0.0
0610037L13Rik	3.79	5.09	3.73	5.65	3.74	4.74
0610038B21Rik	3.27	3.82	4.26	3.2	4.07	4.07
0610039H22Rik	0.0	0.0	0.0	0.0	0.0	0.0
0610039K10Rik	0.0	0.04	0.0	0.05	0.03	0.12
0610040B10Rik	0.58	0.84	0.9	1.14	0.85	0.3
0610040F04Rik	3.12	3.97	4.39	5.17	3.92	5.29
0610040J01Rik	7.89	9.02	6.8	8.02	8.7	8.34
0610043K17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1010001N08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110001J03Rik	3.47	10.42	4.57	6.68	5.84	7.05
1110002L01Rik	0.02	0.0	0.03	0.08	0.05	0.02
1110004E09Rik	87.77	103.94	74.64	71.01	68.0	75.24
1110004F10Rik	5.41	7.46	6.5	6.73	6.88	7.08
1110006O24Rik	0.46	1.21	1.15	1.73	1.46	1.38
1110007C09Rik	2.86	3.35	2.33	2.49	1.93	2.39
1110008F13Rik	45.86	52.39	44.21	56.85	43.63	49.61
1110008L16Rik	5.41	5.79	5.69	7.38	5.62	5.91
1110008P14Rik	4.8	6.46	5.65	6.13	4.87	5.55
1110012L19Rik	39.47	48.36	43.98	51.4	47.04	51.06
1110015O18Rik	0.0	0.0	0.0	0.01	0.0	0.0
1110017D15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110019D14Rik	2.34	1.86	1.52	1.92	1.61	1.86
1110020A21Rik	4.1	3.37	5.98	5.85	6.1	5.72
1110025L11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110028F11Rik	0.01	0.02	0.02	0.03	0.02	0.02
1110028F18Rik	0.05	0.08	0.11	0.12	0.09	0.0
1110032A03Rik	0.98	1.75	1.86	1.61	1.38	1.59
1110032F04Rik	0.05	0.05	0.01	0.01	0.0	0.05
1110034G24Rik	0.44	0.76	0.38	0.57	0.36	0.65
1110036E04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110037F02Rik	45.61	41.88	49.34	47.0	51.83	48.1
1110038B12Rik	0.18	0.9	0.0	0.52	0.62	1.26
1110038F14Rik	14.51	16.63	11.52	14.03	14.57	12.27
1110046J04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110051M20Rik	1.98	2.43	3.28	3.49	2.27	2.43
1110058D11Rik	0.0	0.0	0.0	0.04	0.0	0.0
1110059E24Rik	18.17	19.5	16.85	18.04	15.6	16.94
1110059G10Rik	5.98	7.11	7.35	8.0	6.31	6.76
1110065P20Rik	5.55	6.49	6.15	5.79	5.82	5.45
1190002F15Rik	0.0	0.0	0.0	0.0	0.06	0.0
1190002N15Rik	68.6	66.0	74.21	72.14	76.18	72.03
1190003K10Rik	0.0	0.07	0.0	0.0	0.0	0.0
1190005I06Rik	69.99	70.48	67.74	66.24	69.95	70.18
1190007I07Rik	4.37	6.3	0.88	1.26	0.59	0.82
1200014J11Rik	10.0	9.72	13.63	14.74	11.84	13.49
1300002E11Rik	58.78	74.31	66.48	78.28	61.09	71.76
1300017J02Rik	0.02	0.03	0.02	0.18	0.05	0.1
1500004A13Rik	0.45	0.63	2.37	2.36	0.5	1.25
1500009C09Rik	0.24	0.25	0.0	0.0	0.05	0.05
1500009L16Rik	0.0	0.03	0.0	0.0	0.04	0.02
1500011B03Rik	18.62	23.65	17.87	19.79	17.02	15.67
1500011K16Rik	2.09	2.34	3.62	2.86	2.47	3.6
1500012F01Rik	0.69	1.34	0.61	0.73	0.4	0.99
1500012K07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1500015A07Rik	2.39	2.67	2.68	3.34	1.87	1.92
1500015L24Rik	0.0	0.0	0.0	0.0	0.0	0.0
1500015O10Rik	0.0	0.0	0.0	0.0	0.0	0.0
1500017E21Rik	0.05	0.02	0.01	0.05	0.02	0.08
1500026H17Rik	0.02	0.06	0.09	0.04	0.04	0.02
1600002D24Rik	0.95	0.95	2.03	1.63	1.44	2.02
1600002H07Rik	7.6	9.12	8.79	9.67	8.2	8.09
1600002K03Rik	1.51	3.24	2.61	1.35	1.63	0.88
1600010M07Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600012H06Rik	0.03	0.06	0.09	0.13	0.09	0.15
1600014C10Rik	0.07	0.0	0.08	0.13	0.19	0.14
1600014C23Rik	0.06	0.0	0.08	0.07	0.0	0.0
1600014K23Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600015I10Rik	0.0	0.0	0.0	0.01	0.0	0.0
1600019K03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600020E01Rik	0.1	0.59	0.27	0.28	0.06	0.18
1600023N17Rik	0.0	0.0	0.03	0.0	0.0	0.0
1600025M17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1600027J07Rik	0.41	0.0	0.18	0.0	0.0	0.0
1600029I14Rik	0.0	0.0	0.0	0.0	0.03	0.0
1600029O15Rik	0.01	0.0	0.0	0.0	0.0	0.04
1700001C02Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001C19Rik	0.0	0.0	0.02	0.03	0.0	0.02
1700001D01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001F09Rik	0.0	0.13	0.0	0.26	0.0	0.0
1700001G01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001G11Rik	0.16	0.16	0.4	0.36	0.22	0.12
1700001G17Rik	0.27	0.09	0.18	0.23	0.24	0.33
1700001J03Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001J11Rik	0.01	0.0	0.0	0.0	0.0	0.0
1700001K19Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700001K23Rik	0.0	0.0	0.0	0.08	0.0	0.0
1700001L05Rik	16.46	14.95	16.36	15.54	15.71	14.48
1700001L19Rik	0.39	0.58	0.91	1.68	1.2	1.45
1700001O22Rik	0.02	0.0	0.0	0.05	0.0	0.12
1700001P01Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003C15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003D09Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700003E16Rik	0.0	0.0	0.0	0.01	0.0	0.0
