gene_id	BDF1_TPM_avr	ICR_TPM_avr	ddY_TPM_avr	BDF1_FPKM_avr	ICR_FPKM_avr	ddY_FPKM_avr
0610005C13Rik	0.0	0.07	0.12	0.0	0.025	0.045
0610007P14Rik	75.125	71.00999999999999	70.935	28.884999999999998	28.195	27.560000000000002
0610009B22Rik	51.995000000000005	52.82	45.16	20.025	21.005	17.545
0610009L18Rik	2.18	6.045	2.56	0.835	2.4050000000000002	0.995
0610009O20Rik	8.54	6.29	6.905	3.2800000000000002	2.5	2.6799999999999997
0610010B08Rik	0.01	0.0	0.005	0.0	0.0	0.0
0610010F05Rik	3.8	2.295	2.59	1.46	0.915	1.01
0610010K14Rik	126.055	119.82	120.52000000000001	48.605000000000004	47.565	46.825
0610011F06Rik	1.2799999999999998	2.165	1.96	0.49	0.8600000000000001	0.76
0610012G03Rik	99.405	101.86	100.95500000000001	38.30500000000001	40.5	39.205
0610030E20Rik	4.390000000000001	4.23	4.3100000000000005	1.685	1.68	1.675
0610031O16Rik	0.0	0.0	0.0	0.0	0.0	0.0
0610037L13Rik	11.515	11.775	10.905000000000001	4.4399999999999995	4.69	4.24
0610038B21Rik	9.21	9.42	10.475	3.545	3.73	4.07
0610039H22Rik	0.0	0.0	0.0	0.0	0.0	0.0
0610039K10Rik	0.05	0.065	0.19	0.02	0.025	0.075
0610040B10Rik	1.835	2.5549999999999997	1.495	0.71	1.02	0.575
0610040F04Rik	9.205	12.030000000000001	11.845	3.545	4.779999999999999	4.605
0610040J01Rik	21.97	18.64	21.95	8.455	7.41	8.52
0610043K17Rik	0.0	0.0	0.0	0.0	0.0	0.0
1010001N08Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110001J03Rik	17.835	14.13	16.595	6.945	5.625	6.445
1110002L01Rik	0.025	0.135	0.09000000000000001	0.01	0.055	0.035
1110004E09Rik	248.965	183.60500000000002	184.385	95.85499999999999	72.825	71.62
1110004F10Rik	16.68	16.66	17.975	6.4350000000000005	6.615	6.98
1110006O24Rik	2.15	3.62	3.66	0.835	1.44	1.42
1110007C09Rik	8.065	6.07	5.5649999999999995	3.105	2.41	2.16
1110008F13Rik	127.66	127.065	120.02	49.125	50.53	46.620000000000005
1110008L16Rik	14.555	16.435000000000002	14.855	5.6	6.535	5.765000000000001
1110008P14Rik	14.59	14.835	13.41	5.63	5.890000000000001	5.21
1110012L19Rik	114.005	120.00999999999999	126.31	43.915	47.69	49.05
1110015O18Rik	0.0	0.02	0.0	0.0	0.005	0.0
1110017D15Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110019D14Rik	5.484999999999999	4.325	4.455	2.1	1.72	1.735
1110020A21Rik	9.745	14.9	15.235	3.735	5.915	5.91
1110025L11Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110028F11Rik	0.04	0.065	0.05	0.015	0.025	0.02
1110028F18Rik	0.165	0.28500000000000003	0.12	0.065	0.11499999999999999	0.045
1110032A03Rik	3.525	4.375	3.815	1.365	1.735	1.4849999999999999
1110032F04Rik	0.135	0.025	0.06	0.05	0.01	0.025
1110034G24Rik	1.5499999999999998	1.19	1.295	0.6	0.475	0.505
1110036E04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110037F02Rik	114.00999999999999	121.45	128.765	43.745000000000005	48.17	49.965
1110038B12Rik	1.3849999999999998	0.645	2.41	0.54	0.26	0.94
1110038F14Rik	40.46	32.15	34.61	15.57	12.774999999999999	13.42
1110046J04Rik	0.0	0.0	0.0	0.0	0.0	0.0
1110051M20Rik	5.715	8.530000000000001	6.050000000000001	2.205	3.385	2.35
1110058D11Rik	0.0	0.055	0.0	0.0	0.02	0.0
1110059E24Rik	48.99	43.93	41.894999999999996	18.835	17.445	16.27
1110059G10Rik	17.0	19.32	16.83	6.545	7.675	6.535
1110065P20Rik	15.635	15.05	14.52	6.02	5.970000000000001	5.635
1190002F15Rik	0.0	0.0	0.075	0.0	0.0	0.03
1190002N15Rik	175.29500000000002	184.45999999999998	190.95499999999998	67.3	73.175	74.105
1190003K10Rik	0.085	0.0	0.0	0.035	0.0	0.0
1190005I06Rik	182.825	168.86	180.485	70.235	66.99	70.065
1190007I07Rik	13.82	2.6849999999999996	1.815	5.335	1.07	0.705
1200014J11Rik	25.685000000000002	35.72	32.605	9.86	14.185	12.665
1300002E11Rik	172.69	182.14499999999998	170.97	66.545	72.38	66.42500000000001
1300017J02Rik	0.060000000000000005	0.245	0.185	0.025	0.09999999999999999	0.07500000000000001
1500004A13Rik	1.4	5.965	2.235	0.54	2.365	0.875
1500009C09Rik	0.64	0.0	0.125	0.245	0.0	0.05
1500009L16Rik	0.04	0.0	0.08499999999999999	0.015	0.0	0.03
1500011B03Rik	54.849999999999994	47.41	42.125	21.134999999999998	18.83	16.345
1500011K16Rik	5.765	8.175	7.795	2.215	3.24	3.035
1500012F01Rik	2.63	1.685	1.775	1.0150000000000001	0.6699999999999999	0.6950000000000001
